id,diacritics,no_diacritics
15296,"În aceste condiții, companiile au fost duse înainte de ambiție, de determinare, de dorința de a nu eșua.","In aceste conditii, companiile au fost duse inainte de ambitie, de determinare, de dorinta de a nu esua."
316569,Marin... se așezase în fotoliul din dreapta.,Marin... se asezase in fotoliul din dreapta.
339889,Rugina mănâncă fierul. Apa a mâncat malul.,Rugina mananca fierul. Apa a mancat malul.
59091,"Am refuzat legionarii, am refuzat și pe Antonescu.","Am refuzat legionarii, am refuzat si pe Antonescu."
5490,”Statele Unite au atras atenția în mod repetat liderilor Guvernului Regional al kurzilor că referendumul le va distrage atenția de la eforturile pentru combaterea SI și de la încercarea de a stabiliza regiunea.,”Statele Unite au atras atentia in mod repetat liderilor Guvernului Regional al kurzilor ca referendumul le va distrage atentia de la eforturile pentru combaterea SI si de la incercarea de a stabiliza regiunea.
128284,"  10.  Bogăția populației Cu o bogăție de 17.000 de euro per locuitor, un cetățean român este de zece ori mai sărac decât unul german.","  10.  Bogatia populatiei Cu o bogatie de 17.000 de euro per locuitor, un cetatean roman este de zece ori mai sarac decat unul german."
215543,  Ministrul Justiției i-a reproșat procurorului șef DNA că nu a primit nici până acum raportul privind activitatea instituției.,  Ministrul Justitiei i-a reprosat procurorului sef DNA ca nu a primit nici pana acum raportul privind activitatea institutiei.
134313,"de lei. Compania dezvoltă, produce și comercializează semifabricate, componente și sisteme din oțel pentru constructți, inginerie și industrie, domeniul construcțiilor având în prezent cea mai mare pondere în vânzări.","de lei. Compania dezvolta, produce si comercializeaza semifabricate, componente si sisteme din otel pentru constructti, inginerie si industrie, domeniul constructiilor avand in prezent cea mai mare pondere in vanzari."
187265,Paralela 45 așteaptă afaceri de 60 mil.,Paralela 45 asteapta afaceri de 60 mil.
121820,"Licitații trucate la Metrorex: Un fost director și un om de afaceri, condamnați cu suspendare astăzi, 17:33 Autori: Mihaela Gidei , Mediafax Fostul director în cadrul Metrorex Valeriu Picu și afaceristul Ovidiu Băncescu au fost condamnați definitiv la închisoare cu suspendare de către Curtea de Apel București în dosarul privind trucarea licitației de achiziție a trenurilor pentru Magistrala 5 Drumul Taberei - Pantelimon.","Licitatii trucate la Metrorex: Un fost director si un om de afaceri, condamnati cu suspendare astazi, 17:33 Autori: Mihaela Gidei , Mediafax Fostul director in cadrul Metrorex Valeriu Picu si afaceristul Ovidiu Bancescu au fost condamnati definitiv la inchisoare cu suspendare de catre Curtea de Apel Bucuresti in dosarul privind trucarea licitatiei de achizitie a trenurilor pentru Magistrala 5 Drumul Taberei - Pantelimon."
211733," ""Pentru că banii sunt atât de ieftini, mulți fără talent au intrat în sector cu un nivel extrem de ridicat de îndatorare"", a declarat acesta."," ""Pentru ca banii sunt atat de ieftini, multi fara talent au intrat in sector cu un nivel extrem de ridicat de indatorare"", a declarat acesta."
117366,Niciodată nivelul mediu al tinerilor școliți pe sfert sau pe jumătate n-a fost mai îngrijorător.,Niciodata nivelul mediu al tinerilor scoliti pe sfert sau pe jumatate n-a fost mai ingrijorator.
293139,"A scrie (a tipări, a citi) o carte.","A scrie (a tipari, a citi) o carte."
51377,"Am primit ordin să le spunem oamenilor, în țară, că morții de la Stalingrad și Cotul Donului au înviat, suntem noi aceia, iar pe bieții oameni i-au mințit fasciștii“, spune preotul clujean.","Am primit ordin sa le spunem oamenilor, in tara, ca mortii de la Stalingrad si Cotul Donului au inviat, suntem noi aceia, iar pe bietii oameni i-au mintit fascistii“, spune preotul clujean."
351778,"Ipate odată mi ți-o și înșfacă de cozi, o trîntește la pămînt și-o ține bine.","Ipate odata mi ti-o si insfaca de cozi, o trinteste la pamint si-o tine bine."
156914,Nu ai voie să revii în camera întrerupătoarelor.,Nu ai voie sa revii in camera intrerupatoarelor.
115621,"„Dacă luăm gazele naturale, decât să le ardem, mai bine le prelucrăm.","„Daca luam gazele naturale, decat sa le ardem, mai bine le prelucram."
272781,"La mijloc, pe marginea banchetei, să nu-și șifoneze pliurile de mătase.","La mijloc, pe marginea banchetei, sa nu-si sifoneze pliurile de matase."
267087,"Acel straniu echipaj purta un fel de boier cu ciacșiri și cizme roșii, cu o giubea soioasă îmblănită cu nafea.","Acel straniu echipaj purta un fel de boier cu ciacsiri si cizme rosii, cu o giubea soioasa imblanita cu nafea."
122757,"Spre exemplu, Grecia, țara cel mai dur lovită de criza datoriilor, a reușit să se împrumute, în iulie, de pe piața financiară internațională după mulți ani.","Spre exemplu, Grecia, tara cel mai dur lovita de criza datoriilor, a reusit sa se imprumute, in iulie, de pe piata financiara internationala dupa multi ani."
8364,"Situația este cu atât mai îngrijorătoare cu cât românii sunt pe ultimul loc în clasamentul european al cheltuielilor la restaurante sau cafenele, ca procent din veniturile unei gospodării.","Situatia este cu atat mai ingrijoratoare cu cat romanii sunt pe ultimul loc in clasamentul european al cheltuielilor la restaurante sau cafenele, ca procent din veniturile unei gospodarii."
36349,"Fără a fi bănuiți de nostalgia unanimității, subliniem importanța consensului politic.","Fara a fi banuiti de nostalgia unanimitatii, subliniem importanta consensului politic."
11384,"Cine are răbdare să răsfoiască tomurile „clasicilor“ Reformei (Martin Luther, Jean Calvin, Theodore Beza) sau ale autorilor protestanți din generațiile următoare ajunge inevitabil la acest loc comun.","Cine are rabdare sa rasfoiasca tomurile „clasicilor“ Reformei (Martin Luther, Jean Calvin, Theodore Beza) sau ale autorilor protestanti din generatiile urmatoare ajunge inevitabil la acest loc comun."
194060,Este de așteptat ca în curând Finma – autoritate de reglementare – să ofere informații noi despre care va fi politica ICO-urilor.,Este de asteptat ca in curand Finma – autoritate de reglementare – sa ofere informatii noi despre care va fi politica ICO-urilor.
39881,"Pe lângă scăderile de la bănci au fost scăderi și pe alte acțiuni, cum ar fi cele ale Petrom, în condițiile în care a intart în vizorul pieței partea de accizare, din cauza căreia se aș­teaptă prețuri mai mari și vânzări mai mici, care ar putea influența negativ rezul­tatele, a spus la ZF Live Ovidiu Du­mitrescu, director general adjunct al Tradeville.","Pe langa scaderile de la banci au fost scaderi si pe alte actiuni, cum ar fi cele ale Petrom, in conditiile in care a intart in vizorul pietei partea de accizare, din cauza careia se as­teapta preturi mai mari si vanzari mai mici, care ar putea influenta negativ rezul­tatele, a spus la ZF Live Ovidiu Du­mitrescu, director general adjunct al Tradeville."
6006,De ce m-am dus eu oare La locul unde turme pasc?,De ce m-am dus eu oare La locul unde turme pasc?
271047,Vouă vă place să călătoriți.,Voua va place sa calatoriti.
168746,"Practic, oamenii descoperă serialele pe aplicația de telefon, dar fac „binging” în fața televizorului.","Practic, oamenii descopera serialele pe aplicatia de telefon, dar fac „binging” in fata televizorului."
394036,Toți ochii se răsuciră la răsărit.,Toti ochii se rasucira la rasarit.
25962,Aceste adaosuri pentru medicamentele fabricate în România ar trebui să fie interesante pentru importatori pentru a prelua medicamente fabricate în țara și pentru a le distribui sau chiar exporta“.,Aceste adaosuri pentru medicamentele fabricate in Romania ar trebui sa fie interesante pentru importatori pentru a prelua medicamente fabricate in tara si pentru a le distribui sau chiar exporta“.
15484,"Premierul Tudose a precizat, tot la acel moment, că autoritățile române vor explica părții maghiare că, în privința Liceului Romano-Catolic, este o problemă în Justiție și o greșeală de comunicare și de abordare a consiliului local.","Premierul Tudose a precizat, tot la acel moment, ca autoritatile romane vor explica partii maghiare ca, in privinta Liceului Romano-Catolic, este o problema in Justitie si o greseala de comunicare si de abordare a consiliului local."
212445,"    În Tulcea și Vaslui capitalul românesc are peste 90%   Capitalul privat românesc are cea mai mare pondere, de peste 90%, în două dintre cele mai slab dezvoltate din punct de vedere economic județe ale României: Tulcea și Vaslui.","    In Tulcea si Vaslui capitalul romanesc are peste 90%   Capitalul privat romanesc are cea mai mare pondere, de peste 90%, in doua dintre cele mai slab dezvoltate din punct de vedere economic judete ale Romaniei: Tulcea si Vaslui."
279112,Din această carte s-au tras 50 de exemplare pe hârtie alfa.,Din aceasta carte s-au tras 50 de exemplare pe hartie alfa.
161735,Restaurantul din Arad situat în zona de food-court din Atrium Mall este a doua unitate pe care KFC a deschis-o în acest oraș și odată cu inaugurarea sa vor fi  create 40 noi locuri de muncă.,Restaurantul din Arad situat in zona de food-court din Atrium Mall este a doua unitate pe care KFC a deschis-o in acest oras si odata cu inaugurarea sa vor fi  create 40 noi locuri de munca.
87459,"În fine, sînt vreo 1500 de tipuri de produse.","In fine, sint vreo 1500 de tipuri de produse."
358346,"Decît ne-om tot învîrti și cioșmoli pe iastă prispă, mai bine să scurtăm din cale.","Decit ne-om tot invirti si ciosmoli pe iasta prispa, mai bine sa scurtam din cale."
343772,"Atîta-i de lat în frunte, Pe cît o tablă de munte.","Atita-i de lat in frunte, Pe cit o tabla de munte."
268878,Pentru toți patru copiii... capitala era necunoscutul miraculos.,Pentru toti patru copiii... capitala era necunoscutul miraculos.
221136,"Se mișcară rîuri-rîuri, Ori din codri răscolite, ori stîrnite din pustiuri, Zguduind din pace-adîncă ale lumii începuturi, înnegrind tot orizontul cu-a lor zeci de mii de scuturi.","Se miscara riuri-riuri, Ori din codri rascolite, ori stirnite din pustiuri, Zguduind din pace-adinca ale lumii inceputuri, innegrind tot orizontul cu-a lor zeci de mii de scuturi."
302712,Domol purcede glas de schijă De la clopotnița din deal.,Domol purcede glas de schija De la clopotnita din deal.
142346,"De exemplu, la o flotă de 100 de aeronave dintre cele mai eficiente din punct de vedere al consumului de combustibil, se estimează că noile Boeing 737 MAX vor emite cu 35.000 tone de dioxid de carbon mai puțin.","De exemplu, la o flota de 100 de aeronave dintre cele mai eficiente din punct de vedere al consumului de combustibil, se estimeaza ca noile Boeing 737 MAX vor emite cu 35.000 tone de dioxid de carbon mai putin."
303702,Coloratura pielii.,Coloratura pielii.
140807,"Situația creată prin semnarea actului adițional era menită să oprească procesul în care Ministerul Educației solicitase încetarea contractului de locațiune”, explică procurorii.","Situatia creata prin semnarea actului aditional era menita sa opreasca procesul in care Ministerul Educatiei solicitase incetarea contractului de locatiune”, explica procurorii."
253890,Umbra se-ndesește.,Umbra se-ndeseste.
71271,Detalii de abonare la ZF Corporate: Alexandru Matei (tel.,Detalii de abonare la ZF Corporate: Alexandru Matei (tel.
90408,"  Pe ianuarie și februarie, cumulat, veniturile strânse de ANAF au însemnat 32 de miliarde de lei, ceea ce reprezintã o diminuare cu 0,9% a veniturile fiscale față de perioada similară a anului trecut.","  Pe ianuarie si februarie, cumulat, veniturile stranse de ANAF au insemnat 32 de miliarde de lei, ceea ce reprezinta o diminuare cu 0,9% a veniturile fiscale fata de perioada similara a anului trecut."
407617,"Își găsește utilizare în sindroamele dureroase, evitând cu succes abuzul de medicamente antialgice, atât de vătămătoare bolnavului.","Isi gaseste utilizare in sindroamele dureroase, evitand cu succes abuzul de medicamente antialgice, atat de vatamatoare bolnavului."
196684,"Și în fine, colac peste pupăză, partidele – fără discriminare – au fost ajunse din urmă și de propria politică de cadre, care, în cazul în care nu lipsește cu desăvîrșire, nu încurajează deloc promovarea oamenilor educați și cu bun-simț.","Si in fine, colac peste pupaza, partidele – fara discriminare – au fost ajunse din urma si de propria politica de cadre, care, in cazul in care nu lipseste cu desavirsire, nu incurajeaza deloc promovarea oamenilor educati si cu bun-simt."
85772,"De ce scade Bursa de la București în această toamnă când piețele externe au noi maxime? UrmărițI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners astăzi, 20:18 Ziarul Financiar De ce scade Bursa de la București în această toamnă când piețele externe au noi maxime? UrmărițI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners.","De ce scade Bursa de la Bucuresti in aceasta toamna cand pietele externe au noi maxime? UrmaritI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners astazi, 20:18 Ziarul Financiar De ce scade Bursa de la Bucuresti in aceasta toamna cand pietele externe au noi maxime? UrmaritI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners."
91861,"Acum, pentru a face o nouă rezervare la un alt operator aerian, fie el și low cost mă costă dublu”, afirmă Mihai B.","Acum, pentru a face o noua rezervare la un alt operator aerian, fie el si low cost ma costa dublu”, afirma Mihai B."
364598,"Stai să ne înțelegem, grăi Pintea mîhnit.","Stai sa ne intelegem, grai Pintea mihnit."
44255,"”Am citit acum mesajul d-nului Mirel Palada și, cel mai probabil, voi avea nevoie de câteva zile pentru a reflecta mai temeinic asupra lui și, mai ales, pentru a mă consulta cu cei care mi-au transmis diferite mesaje după agresiunea la care am fost supus.","”Am citit acum mesajul d-nului Mirel Palada si, cel mai probabil, voi avea nevoie de cateva zile pentru a reflecta mai temeinic asupra lui si, mai ales, pentru a ma consulta cu cei care mi-au transmis diferite mesaje dupa agresiunea la care am fost supus."
194134,"A fost a treia finală de Grand Slam pierdută de Halep, după cele de la Roland Garros, din 2014 și 2017..","A fost a treia finala de Grand Slam pierduta de Halep, dupa cele de la Roland Garros, din 2014 si 2017.."
342311,Spuse... că el s-a mulțumit de ciobănie și să duce de acum în lume.,Spuse... ca el s-a multumit de ciobanie si sa duce de acum in lume.
10310,"Ce au învățat în primii cinci ai de activitate antreprenorială câțiva dintre oamenii de afaceri de pe piața locală? Bibiana Stanciulov, antreprenoarea care a pus bazele brandului Magiun de Prune de Topoloveni (operat de compania Sonimpex Topoloveni) spune că în primii cinci ani de activitate ai firmei, respectiv între 1993 și 1998, a avut parte de câteva lecții despre care spune că „acum mi se par glume”: 1. Partenerii de afaceri trebuie bine verificați deoarece există riscul unor mari înșelăciuni.","Ce au invatat in primii cinci ai de activitate antreprenoriala cativa dintre oamenii de afaceri de pe piata locala? Bibiana Stanciulov, antreprenoarea care a pus bazele brandului Magiun de Prune de Topoloveni (operat de compania Sonimpex Topoloveni) spune ca in primii cinci ani de activitate ai firmei, respectiv intre 1993 si 1998, a avut parte de cateva lectii despre care spune ca „acum mi se par glume”: 1. Partenerii de afaceri trebuie bine verificati deoarece exista riscul unor mari inselaciuni."
93853,"Aceasta a fost cumpărată anul acesta de medicul Wargha Enayati, fondatorul Regina Maria.","Aceasta a fost cumparata anul acesta de medicul Wargha Enayati, fondatorul Regina Maria."
353176,"A fost scrisă de... niște ipocriți și fanatici care, vrînd să ție lumea sub tutela lor, iscodeau feluri de basme ca să o sparie.","A fost scrisa de... niste ipocriti si fanatici care, vrind sa tie lumea sub tutela lor, iscodeau feluri de basme ca sa o sparie."
190714,"De la începutul anului 2018 SIF-urile sunt printre cele mai performante acțiuni de la bursa românească în contextul unor creșteri chiar și de 14%, cum este cazul SIF5.","De la inceputul anului 2018 SIF-urile sunt printre cele mai performante actiuni de la bursa romaneasca in contextul unor cresteri chiar si de 14%, cum este cazul SIF5."
355329,"Și sufletu-mi atuncea pe buzele-ți să zboare, Să ia un lung, un dulce, un vecinic sărutat.","Si sufletu-mi atuncea pe buzele-ti sa zboare, Sa ia un lung, un dulce, un vecinic sarutat."
149497,"Grupul hotelier Orbis este cel mai mare lanț hotelier din Polonia și Europa Centrală, cu 120 hoteluri, fiind partener strategic al grupului francez Accor.","Grupul hotelier Orbis este cel mai mare lant hotelier din Polonia si Europa Centrala, cu 120 hoteluri, fiind partener strategic al grupului francez Accor."
314181,Boierii se adunau în deșert ca să chibzuiască.,Boierii se adunau in desert ca sa chibzuiasca.
17572,"""Ucraina a demonstrat și va demonstra în continuare o atitudine față de minoritățile naționale care corespunde cu obligațiile noastre internaționale, care este în concordanță cu standardele europene, fiind un model pentru țările vecine”, a subliniat Petro Poroșenko.","""Ucraina a demonstrat si va demonstra in continuare o atitudine fata de minoritatile nationale care corespunde cu obligatiile noastre internationale, care este in concordanta cu standardele europene, fiind un model pentru tarile vecine”, a subliniat Petro Porosenko."
166358,"- producător de bauxită, Vimetco Extrusion - procesator de produse extrudate, Conef, Global Aluminium Ltd.","- producator de bauxita, Vimetco Extrusion - procesator de produse extrudate, Conef, Global Aluminium Ltd."
146613,fix: 0318.256.286) sau trimiteți un email cu datele dumneavoastră de contact prin care solicitați informații și abonare la adresa alexandru.matei@zf.ro. Veți fi contactat în maximum o oră.,fix: 0318.256.286) sau trimiteti un email cu datele dumneavoastra de contact prin care solicitati informatii si abonare la adresa alexandru.matei@zf.ro. Veti fi contactat in maximum o ora.
287852,"Bine-i stă mîndrei gătată Cu veșminte de la șatră, Dar mai bine i-ar ședea De-ar fi țesute de ea.","Bine-i sta mindrei gatata Cu vesminte de la satra, Dar mai bine i-ar sedea De-ar fi tesute de ea."
167268,"  157.798 de angajatori sunt pasibili cu închisoarea acum n Conform Ministerului de Finanțe, din totalul de 583.170 de angajatori, persoane fizice sau juridice din România 157.798 de angajatori au restanțe de 15,99 miliarde lei în contul contribuțiilor sociale obligatorii pentru pensii, sănătate și șomaj, conform declarațiilor fiscale, a deciziilor de impunere și a deciziilor de calcul accesorii și obligații fiscale suplimentare emise de ANAF n Din informațiile declarate în Formularul 112 reiese că la data de 30 septembrie 2017 acești contribuabili aveau 2.076.097 de angajați n Dintre cei 157.798 de angajatori cu datorii la plata obligațiilor de asigurări sociale, 155.102 au capital privat, iar 2.696 au capital de stat sau majoritar de stat.","  157.798 de angajatori sunt pasibili cu inchisoarea acum n Conform Ministerului de Finante, din totalul de 583.170 de angajatori, persoane fizice sau juridice din Romania 157.798 de angajatori au restante de 15,99 miliarde lei in contul contributiilor sociale obligatorii pentru pensii, sanatate si somaj, conform declaratiilor fiscale, a deciziilor de impunere si a deciziilor de calcul accesorii si obligatii fiscale suplimentare emise de ANAF n Din informatiile declarate in Formularul 112 reiese ca la data de 30 septembrie 2017 acesti contribuabili aveau 2.076.097 de angajati n Dintre cei 157.798 de angajatori cu datorii la plata obligatiilor de asigurari sociale, 155.102 au capital privat, iar 2.696 au capital de stat sau majoritar de stat."
204973,"Previziunea Fitch pentru deficitul bugetar din 2018 și 2019 este că acesta va depăși limita Maastricht de 3% din PIB, crescând la 3,4%, respectiv peste 3,6% din PIB.","Previziunea Fitch pentru deficitul bugetar din 2018 si 2019 este ca acesta va depasi limita Maastricht de 3% din PIB, crescand la 3,4%, respectiv peste 3,6% din PIB."
20468,Rîsul lui „Nenea Iancu“ exprimă o concepție despre viață.,Risul lui „Nenea Iancu“ exprima o conceptie despre viata.
279265,"Pe bulevardul Colței îl izbește pe Moș Gheorghe mai întîi lărgimea lui, apoi alinierea caselor.","Pe bulevardul Coltei il izbeste pe Mos Gheorghe mai intii largimea lui, apoi alinierea caselor."
154212,"Strategia, așa cum a fost realizată, cu participarea partenerilor sociali și a partidelor politice, a oferit o garanție de durată, fără posibilități de revenire, a înscrierii țării noastre pe traiectoria reformelor și a integrării europene, indiferent de calendarul electoral.","Strategia, asa cum a fost realizata, cu participarea partenerilor sociali si a partidelor politice, a oferit o garantie de durata, fara posibilitati de revenire, a inscrierii tarii noastre pe traiectoria reformelor si a integrarii europene, indiferent de calendarul electoral."
15616,"Ambele partide vor căuta să încheie înțelegeri cu grupările mai mici de pe scena politică, dintre care patru se află în strânsă competiție pentru locul al treilea în țară: Partidul Democratic Liber, Partidul Verzilor, Partidul de Stânga și euroscepticii de la Alternativa pentru Germania.","Ambele partide vor cauta sa incheie intelegeri cu gruparile mai mici de pe scena politica, dintre care patru se afla in stransa competitie pentru locul al treilea in tara: Partidul Democratic Liber, Partidul Verzilor, Partidul de Stanga si euroscepticii de la Alternativa pentru Germania."
87480,Dar cred că mai e o explicație pentru bunul-simț de ceas 12.,Dar cred ca mai e o explicatie pentru bunul-simt de ceas 12.
20359,Cercetările au fost demarate ca urmare a unei plângeri pe care a depus-o judecătorul Cristi Danileț.,Cercetarile au fost demarate ca urmare a unei plangeri pe care a depus-o judecatorul Cristi Danilet.
345000,"Nimeni nu cunoștea aceste răpitoare poezii, pe care poetul le ținea... tăinuite în cartoanele sale.","Nimeni nu cunostea aceste rapitoare poezii, pe care poetul le tinea... tainuite in cartoanele sale."
252514,Rădăcina și începătura tuturor răutăților.,Radacina si incepatura tuturor rautatilor.
155883,"În plus, orice suspiciune legată de un produs poate fi raportată de către utilizatori, urmând ca echipa Facebook să verifice situația și să elimine conținutul nepotrivit..","In plus, orice suspiciune legata de un produs poate fi raportata de catre utilizatori, urmand ca echipa Facebook sa verifice situatia si sa elimine continutul nepotrivit.."
84883,"Propunerea de respingere în integralitate a proiectului de lege a aparținut opoziției parlamentare și a fost votată cu majoritate de voturi, deși deputatul UDMR Marton Arpad a propus dezbaterea proiectului de lege pe articole.","Propunerea de respingere in integralitate a proiectului de lege a apartinut opozitiei parlamentare si a fost votata cu majoritate de voturi, desi deputatul UDMR Marton Arpad a propus dezbaterea proiectului de lege pe articole."
191068,"Germanii de la Kaufland, liderul pieței locale de retail, pornește planul de investiții de 200 mil.","Germanii de la Kaufland, liderul pietei locale de retail, porneste planul de investitii de 200 mil."
255404,Fete și băieți înlănțuiți jucau o horă.,Fete si baieti inlantuiti jucau o hora.
210495,fix: 0318.256.286) sau trimiteți un email cu datele dumneavoastră de contact prin care solicitați informații și abonare la adresa alexandru.matei@zf.ro. Veți fi contactat în maximum o oră.,fix: 0318.256.286) sau trimiteti un email cu datele dumneavoastra de contact prin care solicitati informatii si abonare la adresa alexandru.matei@zf.ro. Veti fi contactat in maximum o ora.
278956,"Vei bate și putineiul, ca să alegi untul.","Vei bate si putineiul, ca sa alegi untul."
280157,"Pe drum necontenit ceream apă, iar tata mă amîna cu momele, de la o fîntînă la alta.","Pe drum necontenit ceream apa, iar tata ma amina cu momele, de la o fintina la alta."
215076,"O asemenea poziție nu se cîștigă însă prin niște alegeri miraculoase, în care iese un erou național, bun și drept, urmate de o genială politică de atragere a investițiilor, de descoperirea unui zăcămînt enorm de petrol/diamante și de dublarea salariilor la bugetul imediat următor.","O asemenea pozitie nu se cistiga insa prin niste alegeri miraculoase, in care iese un erou national, bun si drept, urmate de o geniala politica de atragere a investitiilor, de descoperirea unui zacamint enorm de petrol/diamante si de dublarea salariilor la bugetul imediat urmator."
120325,Cei din IT sunt singurii care fac o excepție.,Cei din IT sunt singurii care fac o exceptie.
84213,"Noile legi ale justiției, aviz negativ de la CSM.","Noile legi ale justitiei, aviz negativ de la CSM."
2669,"Armata Română este dezarmată, decapitată și lăsată fără solde.","Armata Romana este dezarmata, decapitata si lasata fara solde."
228697,Știind... că lupul e mai vîrtos la vînă decît dînsul.,Stiind... ca lupul e mai virtos la vina decit dinsul.
16091,"Cel mai puternic cutremur din acest an a avut loc pe 8 februarie, în Buzău, și a avut magnitudinea 5, la o adâncime de 124 de kilometri, seismul fiind resimțit și în Capitală.","Cel mai puternic cutremur din acest an a avut loc pe 8 februarie, in Buzau, si a avut magnitudinea 5, la o adancime de 124 de kilometri, seismul fiind resimtit si in Capitala."
88866,"Conform estimărilor sale, Zexe Cofeturi va ajunge la aproximativ 700.000 de euro cifră de afaceri, iar profitul va fi în jur de 15%.  Continuarea pe ZFCorporate   ZF Corporate este serviciul de business intelligence al Ziarului Financiar.","Conform estimarilor sale, Zexe Cofeturi va ajunge la aproximativ 700.000 de euro cifra de afaceri, iar profitul va fi in jur de 15%.  Continuarea pe ZFCorporate   ZF Corporate este serviciul de business intelligence al Ziarului Financiar."
164272,"În momentul de față, un bitcoin valorează mai mult de 10.000 de dolari.","In momentul de fata, un bitcoin valoreaza mai mult de 10.000 de dolari."
271292,Din norocire atunce au început și turbatele valuri a se mai alina.,Din norocire atunce au inceput si turbatele valuri a se mai alina.
148818,"Lovin și Iana au condus apoi din interior eforturile de înlăturare a lui Diță prin convocarea, joia trecută, a unei videoconferințe cu direcțiile regionale ale ANCOM, în cadrul căreia s-a discutat despre demisia președintelui.","Lovin si Iana au condus apoi din interior eforturile de inlaturare a lui Dita prin convocarea, joia trecuta, a unei videoconferinte cu directiile regionale ale ANCOM, in cadrul careia s-a discutat despre demisia presedintelui."
77189,"Am avut parte de încă o zi plină de diversitate în Piața Obor! De altfel, diversitatea e peste tot în jurul nostru.","Am avut parte de inca o zi plina de diversitate in Piata Obor! De altfel, diversitatea e peste tot in jurul nostru."
48344,Termenul este până mâine.,Termenul este pana maine.
177191,"Motivele pentru care Facebook și Twitter ar putea să dispară astăzi, 14:36 Autori: Ioana Matei , Business Magazin Businessurile Facebook și Twitter ar putea fi distruse de public dacă nu gestionează temerile oamenilor legate de modul în care funcționează aceste rețele, reiese dintr-un comentariu al unui academician de top, publicat de Daily Mail.","Motivele pentru care Facebook si Twitter ar putea sa dispara astazi, 14:36 Autori: Ioana Matei , Business Magazin Businessurile Facebook si Twitter ar putea fi distruse de public daca nu gestioneaza temerile oamenilor legate de modul in care functioneaza aceste retele, reiese dintr-un comentariu al unui academician de top, publicat de Daily Mail."
