	Score	Sent1	Sent2
42	1.6	Un pui de tigru se joaca cu o minge.	Un bebelus se joaca cu o papusa.
43	1.75	O persoana taie o rosie.	O persoana taie niste carne.
44	5.0	O persoana taie o ceapa.	O persoana taie o ceapa.
45	1.0	Un barbat canta la pian.	O femeie canta la vioara.
46	1.0	O femeie canta la flaut.	Un barbat canta la chitara.
47	2.375	Un barbat taie un cartof.	Un barbat taie morcovi.
48	3.8	Un copil canta la chitara.	Un baiat canta la o chitara.
49	3.2	Un baiat canta la chitara.	Un barbat canta la o chitara.
50	3.2	Un barbat canta la chitara.	Un baiat canta la o chitara.
51	4.4	Un baietel canta la clape.	Un baiat canta la clape.
52	3.75	Un barbat canta la o chitara.	Un barbat canta la o chitara electrica.
53	4.75	Un caine linge un bebelus.	Un caine linge un bebelus.
54	3.2	O femeie feliaza o ceapa.	Un barbat taie o ceapa.
55	1.556	Un barbat canta la chitara.	Un barbat canta la tobe.
56	3.938	O femeie feliaza un ardei.	O femeie taie un ardei rosu.
57	5.0	Un barbat canta la tobe.	Un barbat canta la toba.
58	5.0	O femeie calareste un cal.	O femeie calareste un cal.
59	4.0	Un barbat mananca o banana langa un copac.	Un barbat mananca o banana.
60	1.6	O pisica se joaca la tastatura.	Un barbat canta la doua orgi.
61	4.75	Un barbat taie un copac cu un topor.	Un barbat a taiat un copac cu un topor.
62	3.5	Un copil se joaca cu un telefon de jucarie.	Un baietel se joaca cu un telefon de jucarie.
63	1.4	Un barbat merge cu motocicleta.	Un barbat calareste un cal.
64	1.4	Un barbat merge cu motocicleta.	Un barbat calareste un cal.
65	4.0	O veverita se invarte in cerc.	O veverita alearga in cerc.
66	5.0	Un barbat si o femeie se saruta.	Un barbat si o femeie se saruta.
67	3.833	Un barbat urca intr-o masina.	Un barbat urca intr-o masina intr-un garaj.
68	0.6	Un barbat danseaza.	Un barbat vorbeste.
69	2.917	Un barbat canta la chitara si voce.	Un barbat canta la chitara.
70	4.2	O persoana taie ciuperci.	O persoana taie ciuperci cu un cutit.
71	2.0	Un pui de tigru scoate un sunet.	Un tigru se plimba imprejur.
72	2.6	O persoana feliaza niste cepe.	O persoana curata o ceapa.
73	1.6	Un barbat canta la pian.	Un barbat canta la trompeta.
74	2.0	O femeie curata un cartof.	O femeie descojeste un mar.
75	4.2	Un panda mananca bambus.	Un urs panda mananca niste bambus.
76	2.0	O persoana curata o ceapa.	O persoana curata o vanata.
77	4.8	O maimuta impinge o alta maimuta.	Maimuta a impins-o pe cealalta maimuta.
78	4.4	O veverita alearga in cerc.	O veverita se misca in cerc.
79	5.0	Un barbat isi leaga sireturile.	Un barbat isi leaga sireturile.
80	3.0	Un baiat canta la pian si voce.	Un baiat canta la pian.
81	4.25	Un caine mananca pepene verde.	Un caine mananca o bucata de pepene verde.
82	4.25	O femeie toaca brocoli.	O femeie toaca brocoli cu un cutit.
83	3.8	Un barbat curata un cartof.	Un barbat a curatat un cartof.
84	2.4	O femeie canta la o chitara.	Un barbat canta la o chitara.
85	1.6	O femeie taie rosii.	Un barbat taie ceapa.
86	2.0	Un barbat inoata sub apa.	O femeie inoata sub apa.
87	1.6	Un barbat si o femeie vorbesc.	Un barbat si o femeie mananca.
88	4.0	Un caine mic alearga dupa o minge de yoga.	Un caine alearga dupa o minge.
89	2.2	Barbatii joaca cricket.	Barbatii joaca baschet.
90	4.4	Un barbat pleaca pe motocicleta.	Un barbat merge pe motocicleta.
91	3.6	Un barbat canta la o chitara.	Un barbat canta la chitara si voce.
92	3.6	Barbatul a vorbit la telefon.	Barbatul vorbeste la telefon.
93	0.5	Un barbat pescuieste.	Un barbat face miscare.
94	0.8	Un barbat leviteaza.	Un barbat vorbeste.
95	0.6	Doi baieti conduc.	Doi baieti danseaza.
96	2.6	Un barbat calareste un cal.	O fata calareste un cal.
97	2.0	Un barbat merge cu bicicleta.	O maimuta merge cu bicicleta.
98	2.2	Un barbat feliaza cartofi.	O femeie curata cartofi.
99	2.4	O femeie curata un cartof.	Un barbat feliaza cartofi.
100	3.6	Un barbat canta la o chitara.	Cineva canta la chitara.
101	2.2	O femeie feliaza un praz.	O femeie taie ghimbir.
102	4.8	Omul a taiat o farfurie de carton.	Un barbat taie o farfurie de carton.
103	1.643	Barbatul canta la chitara.	Un barbat canta la flaut.
104	1.75	Un barbat canta la pian.	Barbatul canta la vioara.
105	2.25	O femeie toaca niste carne.	O femeie pregateste niste carne.
106	4.0	Un barbat canta la clape.	Un barbat canta la un pian electric.
107	4.8	Doamna a tocat cepele verzi.	Doamna a taiat o ceapa verde.
108	3.2	Cineva pune taitei in apa.	O femeie fierbe taitei in apa.
109	4.0	Lionel Richie danseaza pe tavan.	Lionel Ritchie danseaza in picioare pe tavan.
110	4.4	Un barbat canta la un pian.	O persoana canta la pian.
111	4.6	O femeie canta la flaut.	O femeie canta la un flaut.
112	3.8	Un baiat verifica un calendar.	Un baiat se uita la un calendar.
113	4.8	O femeie taie o ceapa.	O femeie toaca niste ceapa.
114	4.857	Un barbat canta la chitara.	Un barbat canta la o chitara.
115	5.0	O femeie foloseste o masina de cusut.	O femeie coase la o masina.
116	2.533	O femeie intoarce clatite.	Un bucatar din desene animate intoarce clatite.
117	1.0	Un barbat alearga pe drum.	O masina circula pe drum.
118	1.0	Un barbat merge calare pe un cal.	Un barbat vorbeste la un telefon.
119	2.0	Un barbat merge cu o bicicleta.	Un barbat merge calare pe un cal.
120	0.143	O femeie danseaza.	Un barbat mananca.
121	2.0	Un barbat canta la pian.	Un barbat canta la un flaut.
122	1.6	Un barbat canta la un flaut.	Un barbat canta la un pian.
123	1.6	Un barbat se invarte.	Un barbat danseaza.
124	3.4	O maimuta se leagana de pe un picior pe altul.	O maimuta se leagana din copac in copac.
125	4.0	Oamenii au coborat din tren.	Oamenii au coborat din tren la gara.
126	4.8	Un caine sare pe o trambulina.	Un caine face salturi pe o trambulina.
127	2.5	Un baiat canta la un instrument.	Un barbat canta la o trompeta.
128	1.75	O femeie canta la chitara.	Un barbat canta la chitara si voce.
129	1.0	O femeie alege o conserva.	O femeie feliaza o rosie.
130	5.0	Un barbat se urca pe o franghie.	Un barbat se urca pe o franghie.
131	1.4	Un barbat ridica o masina.	Un barbat escaladeaza un perete.
132	4.0	Un barbat si o femeie merg pe strada intr-o masina de teren.	Un barbat si o femeie conduc pe drum intr-o decapotabila.
133	3.8	Barbatul fara camasa s-a asezat pe un scaun.	Un barbat fara camasa sta pe un scaun.
134	4.0	Doua femei se lupta.	Doua femei se lupta pe podea.
135	4.0	Catelusul s-a jucat cu o minge albastra de tenis.	Un catelus se joaca cu o minge de tenis.
136	4.8	Un cangur mananca ceva.	Un cangur mananca.
137	0.6	O pisica canta la un pian.	Un barbat canta la o chitara.
138	4.75	Barbatul a taiat o bucata de covor cu un cutit.	Un barbat taie un covor cu un cutit.
139	2.2	O femeie merge pe drum pe un scuter cu motor.	Un barbat merge pe un scuter cu motor.
140	3.0	Cineva feliaza o leguma.	Cineva feliaza o rosie.
141	0.0	O femeie danseaza.	Un barbat vorbeste.
142	2.2	Un caine linge saliva unui bebelus.	Un caine linge un bebelus.
143	0.4	Un barbat vasleste o barca.	Un barbat feliaza o rosie.
144	4.8	Un barbat taie cartofi.	Un barbat feliaza cartofi.
145	4.8	O femeie toaca usturoi.	Femeia taie usturoi in cuburi.
146	3.8	Un animal alearga in cerc.	O veverita alearga in cerc.
147	3.0	Un barbat trece incet peste un pod de franghii.	Un baiat trece peste un pod.
148	4.0	Un barbat canta la chitara.	Un barbat asezat intr-o camera canta la chitara.
149	5.0	Un barbat canta la flaut.	Un barbat canta la un flaut.
150	3.8	O femeie sparge doua oua intr-un bol de sticla.	O femeie sparge un ou intr-un bol.
151	3.0	Un barbat taie un peste.	Un barbat spinteca un peste.
152	4.4	Doi barbati pun valize in portbagajul unei masini.	Barbatii pun valize in portbagajul masinii.
153	3.8	Un barbat toarna ulei pe niste rosii.	Barbatul a turnat ulei pe rosiile taiate.
154	3.0	Un barbat feliaza ceva.	Un barbat feliaza o chifla.
155	0.667	Un barbat vasleste cu o canoe.	Un barbat canta la o harpa.
156	4.0	Un barbat si o femeie se plimba impreuna prin padure.	Un barbat si o femeie merg brat la brat printr-o zona impadurita.
157	3.75	Femeia a ridicat cangurul.	O femeie ridica un pui de cangur.
158	4.133	Pestii inoata.	Un peste inoata.
159	4.0	Doua femei amesteca ceva intr-un robot de bucatarie.	Doua femei fac ceva intr-un blender.
160	3.6	O persoana face surf pe un val mare.	O persoana face surf.
161	1.2	Un barbat canta la o chitara.	Un barbat injunghie o tinta.
162	1.6	Un barbat canta la flaut intr-o trupa.	Un barbat canta la o chitara.
163	4.0	Barbatul a intins unt pe felia de paine.	Un barbat unge unt pe paine.
164	4.0	O persoana fierbe taitei.	O femeie fierbe taitei in apa.
165	3.2	Un grup de oameni danseaza pe un deal.	Un grup de oameni danseaza.
166	1.0	Un barbat danseaza afara.	Un barbat canta la flaut.
167	1.0	O femeie hraneste un barbat.	O femeie amesteca carne.
168	0.6	Un barbat pune o tigaie intr-un cuptor.	O femeie taie o ceapa.
169	0.4	O femeie sta la un birou.	O femeie calareste pe un magar.
170	3.4	Medicii transporta un pacient pe o targa.	Un medic grabeste un pacient pe o targa.
171	3.6	O femeie canta la un flaut pe scena.	Femeia canta la flaut.
172	3.0	Doi pui de panda se joaca.	Doui ursi panda stau intinsi unul langa altul.
173	4.0	Un bebelus rade.	Un bebelus rade si chicoteste.
174	1.2	Un barbat canta la o chitara.	Un baiat canta la un pian.
175	0.6	Un barbat impatureste hartie.	O femeie taie un ardei.
176	1.6	Trei femei danseaza.	Barbatul danseaza.
177	2.6	Pisicile se joaca intre ele.	Doua pisici se lupta intre ele.
178	3.6	O persoana scrie.	O persoana scrie cu un creion.
179	3.5	Un barbat alearga.	Un barbat alearga pe un drum.
180	3.765	Femeia ruleaza aluat.	O femeie pune faina si ruleaza aluat.
181	2.75	O femeie adauga condimente pe o carne.	Femeia adauga zahar in carne.
182	2.25	O femeie adauga ulei pe pesti.	O femeie toarna apa peste peste.
183	2.75	Un baietel tine o chitara.	Un baietel canta la o chitara.
184	3.8	Un ghepard alearga.	Un ghepard alearga de-a lungul unui camp.
185	4.8	Barbatul mananca pizza.	Un barbat mananca o felie de pizza.
186	3.6	Un urangutan merge cu autobuzul.	O maimuta merge intr-un autobuz.
187	1.2	Un barbat si o femeie vorbesc intr-un restaurant.	Un barbat si o femeie merg cu o bicicleta.
188	0.4	Un barbat canta la o chitara.	Un barbat curata o usa de sticla.
189	2.4	O fata canta la chitara si voce.	Un tanar canta in timp ce canta la chitara.
190	3.941	O fata comunica prin limbajul semnelor.	O tanara foloseste limbajul semnelor.
191	0.5	O femeie face exercitii cu greutati.	O femeie isi face parul.
192	3.75	Un barbat urca intr-o masina.	Un barbat in varsta urca intr-o masina rosie.
193	4.0	O minge mare verde rastoarna un cartof.	O minge mare verde loveste un cartof.
194	3.0	O pisica se joaca la clape.	O pisica canta la un pian.
195	4.2	Doi caini inoata intr-o piscina.	Cainii inoata intr-o piscina.
196	2.0	Barbatul a folosit un tocator pentru a toca ceapa.	Barbatul a folosit o masina pentru a taia un cartof.
197	5.0	O femeie feliaza tofu.	O femeie taie tofu.
198	3.0	O turma de caprioare traverseaza strada.	O turma de reni traverseaza un drum.
199	3.8	Persoana merge calare pe cal.	Un barbat merge calare pe un cal.
200	0.0	Cineva hraneste un animal.	Cineva canta la un pian.
201	0.0	Cineva taie tortilla.	Cineva merge calare pe cal.
202	0.25	Cineva amesteca ingrediente.	Cineva coase lucruri.
203	4.0	Un cocos inclonteste un soarece mort.	Un pui inclonteste un soarece mort.
204	3.25	O femeie tine un cangur.	O femeie ridica un cangur.
205	0.75	Un barbat se joaca cu broaste	O pisica se joaca cu un aparat foto.
206	1.5	Doi barbati vorbesc.	Doi barbati canta la chitara.
207	3.5	Un barbat unge unt pe o bucata mare de paine.	Un barbat intinde unt pe o felie de paine cu usturoi.
208	3.0	Un barbat alearga pe un fir la inaltime.	Un barbat alearga pe franghie.
209	0.2	Un barbat tunde un gazon.	O femeie taie o lamaie.
210	0.8	Un barbat deschide o usa.	Un barbat canta la o chitara.
211	4.2	Un barbat feliaza un cartof in bucati.	Un barbat taie un cartof.
212	3.8	Femeia taie caracatita gatita.	O femeie toaca caracatita.
213	0.4	Un barbat loveste panourile cu pumnii.	Un caine alearga prin apa.
214	0.8	Un barbat danseaza.	Un barbat mananca paine.
215	1.2	Cineva canta la pian.	Un barbat canta la o chitara.
216	2.8	Doua vulpi mananca dintr-o farfurie pe o terasa din caramida.	Vulpi mananca dintr-o farfurie.
217	3.2	Un baiat canta la clape.	Un baiat canta la pian.
218	5.0	O persoana canta la clape.	Cineva canta la clape.
219	0.0	Un barbat trage cu o arma.	Un barbat scuipa.
220	1.0	Cineva taie o ceapa.	Cineva curata un cartof.
221	0.0	Un barbat inoata.	O femeie taie carne.
222	3.75	Un barbat canta la chitara.	Un barbat canta la o chitara acustica.
223	0.4	O femeie taie un dovleac.	O femeie calareste un elefant.
224	0.4	O femeie danseaza.	O femeie framanta aluat.
225	0.6	O femeie sparge oua intr-un castron.	O femeie pune frigarui pe un gratar.
226	4.0	O masina merge pe un drum.	O masina circula pe drum.
227	0.4	Cineva unge o tigaie.	Cineva se intinde jos.
228	0.4	Un barbat canta la chitara.	Un om scurge paste.
229	0.4	O femeie bea vodca.	O femeie face exercitii fizice.
230	4.8	O femeie taie carne in bucati.	O femeie taie niste carne.
231	0.6	Un barbat clateste o bucata de carne.	Un barbat canta la o chitara.
232	0.8	Un barbat vinde articole.	Un barbat curata casa.
233	3.2	Un barbat sare peste un zid.	Un barbat sare pe un zid mic.
234	3.2	Alergatorii alearga in jurul unei piste.	Alergatorii concureaza intr-o cursa.
235	0.6	Un barbat loveste o minge de fotbal.	Un barbat invarte un castron.
236	0.6	O femeie prajeste ceva.	O femeie merge calare pe un cal.
237	0.0	O pisica linge o ventuza.	O femeie feliaza castravete.
238	1.4	O femeie danseaza langa un foc.	O femeie face o baie.
239	2.2	Barbatul spinteca un peste.	Un barbat feliaza un cartof.
240	3.6	Untul se topeste intr-o tigaie.	Un barbat topeste unt intr-o tigaie.
241	3.111	Trei baieti danseaza.	Copii danseaza.
242	0.6	O femeie joaca un joc cu un barbat.	Un barbat canta la pian.
243	0.4	Barbatul conduce o masina alba.	Un barbat acorda un interviu.
244	4.25	Un barbat si-a condus masina.	Un barbat conduce o masina.
245	3.0	O masina da cu spatele dintr-un loc de parcare.	O masina da cu spatele dintr-o strada blocata.
246	5.0	Un barbat pune niste branza pe o pizza.	Barbatul a presarat branza pe pizza.
247	5.0	Baiatul canta la pian.	Un baiat canta la un pian.
248	3.75	Barbatul a cantat la chitara lui.	Un barbat canta la o chitara.
249	0.2	Un barbat merge calare pe un cal.	Un barbat canta la clape.
250	0.4	Un om merge pe o franghie.	Un barbat merge cu o motoreta.
251	1.286	O fata canta la un flaut.	O trupa canta pe o scena.
252	4.6	Oamenii se dau jos dintr-un tren.	Un grup de oameni coboara dintr-un tren.
253	0.6	O femeie coase la masina.	O femeie pregateste niste carne.
254	2.0	Un caine se uita la piscina.	Un caine se plimba in jurul unei piscine.
255	5.0	Un barbat unge o bucata de paine cu unt.	Un om intinde unt pe paine.
256	1.8	Un barbat taie rosii in bucati.	O femeie taie niste legume.
257	2.4	Trei adolescente au dansat in camera.	Niste fete adolescente danseaza pentru aparatul de fotografiat.
258	2.4	Un leu merge.	Un leu umbla intr-un tarc.
259	0.4	Un barbat impusca o masina.	Un barbat taie un cartof.
260	4.2	Un cal negru alearga imprejur.	Calul alearga.
261	0.0	O femeie decorticheaza creveti.	Un barbat danseaza in ploaie.
262	0.0	Un barbat merge calare pe un cal.	O femeie spala un congelator.
263	0.8	Un barbat merge pe o carare.	Un barbat trece peste o franghie intinsa.
264	1.4	Un barbat feliaza un cartof.	O femeie taie un ardei.
265	1.5	Un caine latra la o minge.	Un caine inoata dupa o minge de tenis.
266	2.5	Un copil fuge de un peste care se balanseaza in jurul unei undite.	Un copil mic alearga in jurul unei undite.
267	2.5	Un barbat merge pe o carare prin salbaticie.	Un barbat merge pe un drum.
268	3.5	Un barbat in varsta vorbeste pe un podium.	Un barbat tine un discurs pe podium.
269	3.4	Un barbat merge calare pe un cal in miscare lenta.	Un barbat merge calare pe un cal.
270	3.8	O persoana taie niste branza burrata.	Persoana feliaza branza.
271	3.8	Barbatul trage cu o pusca automata.	Un barbat trage cu o arma.
272	1.5	Un barbat zdrobeste usturoi cu un cutit.	O femeie feliaza carne cu un cutit.
273	0.5	O femeie isi pileste unghiile cu o pila.	O femeie isi hraneste bebelusul cu o sticla.
274	0.0	Un barbat merge pe un skateboard.	O femeie taie un cartof.
275	0.0	O femeie face un dus.	Un barbat merge calare pe un cal alb.
276	0.8	Un barbat danseaza.	Un barbat merge calare pe un cal.
277	0.85	Un barbat vasleste intr-o barca.	Un barbat trage cu o arma.
278	3.4	Un barbat se leagana pe o franghie prinsa de tavan.	Un barbat se leagana pe o franghie.
279	0.4	O femeie merge calare pe un cal pe o plaja.	Un barbat cara un alt barbat in spate.
280	1.75	Un barbat tine un animal mic intr-o mana.	Un barbat arata o maimuta mica.
281	3.25	O persoana pliaza o bucata de hartie patrata.	Un barbat pliaza hartie.
282	0.75	O persoana prajeste carne intr-o tigaie.	O persoana tine un sconcs.
283	0.0	Un cimpanzeu ii face rau unei femei.	Un barbat conduce o masina.
284	0.0	Femeia curata creveti.	Barbatul tine un lemur.
285	4.25	Doua zebre se joaca.	Zebrele socializeaza.
286	1.8	O femeie taie unt.	O femeie feliaza tofu.
287	3.2	Niste barbati canta la chitara.	Trei barbati canta la chitara si voce impreuna.
288	3.6	Elefantii au pulverizat apa pe ei insisi.	Elefantii se stropesc pe ei insisi cu apa.
289	2.6	Un caine statea la tejgheaua unui magazin.	Cainele sta la tejghea.
290	3.2	Cineva face o gaura intr-o scandura de lemn cu un burghiu electric.	Un barbat face o gaura intr-o bucata de lemn.
291	2.8	O femeie feliaza niste legume.	Femeia taie usturoi.
292	4.6	Un bursuc isi sapa o gaura.	Un bursuc sapa in pamant.
293	0.0	O femeie face schi nautic pe un lac.	Un barbat canta la un flaut.
294	0.25	O fata canta la o vioara.	Un bebelus rade si chicoteste.
295	3.923	Un elicopter aterizeaza pe un heliport.	Un elicopter aterizeaza.
296	2.75	O femeie taie un pui.	O femeie feliaza carne.
297	0.0	O femeie taie un castravete.	Un barbat canta la o chitara.
298	3.0	O femeie calareste un elefant in fata unei multimi care o adora.	O femeie calareste un elefant.
299	3.8	Un catelus aluneca inapoi de-a lungul podelei.	Un catelus se impinge inapoi.
300	4.6	O femeie desface catei de usturoi.	O femeie rupe un usturoi in catei.
301	2.6	Un caine se uita intr-o piscina.	Un caine merge pe marginea unei piscine.
302	3.6	O femeie amesteca un tratament de infrumusetare intr-un pahar.	O femeie amesteca o crema intr-un pahar cu o lingura.
303	3.6	Un barbat deseneaza un tablou.	O persoana deseneaza.
304	1.0	O femeie culege rosii.	O femeie toarna aluat intr-un castron.
305	2.75	Un barbat se uita la monitorul unui computer.	Un barbat foloseste un laptop.
306	1.25	Baiatul merge pe o tricicleta.	O femeie merge pe o hidrobicicleta.
307	2.75	Doi barbati concureaza intr-o cursa de rostogolit cauciucuri.	Doi oameni au rasturnat anvelope de tractor intr-o cursa.
308	0.0	O persoana taie o carne.	O persoana calareste un taur mecanic.
309	0.0	Un barbat canta la vioara.	O femeie foloseste o masina de cusut.
310	2.4	Bebelusul a iesit taras pe usa.	Un bebelus se taraste de-a lungul podelei.
311	2.2	Un barbat canta la clape.	O persoana canta la un pian.
312	0.2	Un barbat miroase doua pizza.	O femeie hraneste un barbat.
313	2.8	O maimuta trage de coada unui caine.	O maimuta tachineaza un caine la gradina zoologica.
314	4.0	Un caine sta intins pe spate pe o podea din lemn.	Un caine sta pe podea.
315	0.0	O femeie prajeste ceva in tigaie.	Un barbat canta la chitara lui.
316	5.0	Un barbat pune condimente intr-un castron cu apa.	Barbatul a adaugat condimente peste apa intr-un castron.
317	0.0	O femeie in varsta toarna ulei intr-o tigaie de prajit.	Un barbat legat pune in apa.
318	3.2	O femeie toaca o ceapa.	O femeie taie partial jumatate de ceapa.
319	3.5	Femeia a ridicat cangurul.	O femeie tine un cangur.
320	1.75	Un caine care musca dintr-o cutie.	Un caine deschide o cutie de mancare.
321	1.25	O femeie dezoseaza un peste.	Un barbat prinde un peste.
322	0.833	Un barbat tunde iarba.	Un barbat sparge beton.
323	0.0	O pisica se uita la un televizor.	Un barbat taie o frunza.
324	3.75	Baiatul este blocat in usa casutei cainelui.	Un copil este blocat intr-o casuta de caini.
325	2.75	Oamenii se arunca intr-o piscina.	Barbati cad intr-o piscina.
326	3.8	O femeie inoata sub apa.	O femeie inoata.
327	0.2	Un barbat canta la o chitara.	O femeie danseaza.
328	3.4	Un avion zboara prin aer.	Un avion South African Airways zboara sub un cer albastru.
329	1.4	Un urs fuge de doi caini.	Un urs se lupta cu lupi.
330	3.8	O femeie se odihneste pe o pluta.	O femeie se relaxeaza intr-o cada interioara.
331	0.4	Un barbat moare intr-o sala de operatii.	Un barbat saruta o femeie pe scena.
332	0.0	Un barbat tine o frunza.	O femeie se uita la televizor.
333	0.0	O persoana merge calare pe un cal.	O femeie feliaza cartofi.
334	0.0	O femeie feliaza caracatita.	Un barbat canta la chitara.
335	0.2	Un om sparge ulcioare de apa.	O femeie curata usturoi.
336	0.0	Un barbat canta la o chitara.	O femeie taie legume.
337	0.0	O fata mananca o briosa.	Un barbat feliaza un castravete.
338	3.8	Fetita s-a jucat pe iarba cu un caine si o minge.	Un bebelus se joaca cu un caine si o minge.
339	2.25	Oamenii merg pe o pluta si vaslesc.	Patru persoane plutesc pe o pluta.
340	2.4	Doamna a taiat un cartof.	Un barbat taie un cartof.
341	3.2	Misilul a explodat.	O racheta a explodat.
342	1.6	Un caine se joaca in zapada.	Un caine da cu laba la o musca de pe covor in fata lui.
343	0.4	O femeie danseaza cu alte femei.	O femeie marunteste pui.
344	0.0	Un baiat impinge o dubita.	O persoana taie o rosie.
345	0.4	Un baiat face niste pasi de dans.	Un baiat toarna ceva dintr-un ulcior.
346	0.6	O femeie deschide un suc si il bea.	O femeie merge calare pe un elefant.
347	1.0	Un om asambleaza bucati de difuzor.	Un barbat canta la chitara.
348	4.6	Cainele s-a plimbat de-a lungul marginii piscinei.	Un caine merge pe langa o piscina.
349	4.25	Untul este pus intr-un castron.	Un barbat taie untul intr-un bol.
350	1.5	Ratonii mananca.	Un barbat mananca.
351	3.5	Cineva a cazut de pe un cal.	Un barbat este aruncat de pe un cal.
352	0.0	O femeie descojeste un mar.	Un barbat face acrobatii pe o motocicleta.
353	0.0	Un barbat ia niste cursuri de matematica.	Un barbat clateste o bucata de carne.
354	0.0	Animalele se joaca in apa.	Doi barbati joaca tenis de masa.
355	0.333	Un barbat merge calare pe un cal si sare peste obstacole.	Un barbat loveste o minge de fotbal.
356	0.333	O persoana face trucuri cu creionul cu mana.	O persoana taie morcovi in jumatate.
357	3.333	Persoana a dat foc la aparatele foto.	O persoana da foc la aparate foto.
358	4.333	Omul taie banda de pe cutie.	Un barbat taie o cutie sa o deschida.
359	0.8	Un barbat pescuieste in rau.	Un barbat canta in timp ce merge pe trotuar.
360	0.2	Un barbat merge cu o bicicleta.	O femeie danseaza pe strada.
361	0.0	Un barbat face flotari.	O femeie taie niste caracatita.
362	0.0	Un barbat canta la chitara.	O femeie taie felii niste carne de porc.
363	2.8	Baietelul canta la chitara si voce.	Un bebelus canta la o chitara.
364	0.8	O femeie isi pudreaza fata.	Femeia bate cu degetele in masa.
365	0.0	O femeie curata un cartof.	Un leu se plimba imprejur.
366	0.25	O femeie trage cu o pusca.	Un barbat face cascadorii.
367	0.5	O femeie pune o ghirlanda peste umerii unui barbat.	Un barbat toarna apa peste capul unui pilot.
368	3.75	O batrana da mana cu un barbat.	Un barbat si o femeie dau mana.
369	1.75	Femeia face schi nautic.	O femeie navigheaza pe un lac.
370	2.667	Copacii se indoaie sub furtuna.	Copacii sunt loviti de vanturi foarte puternice.
371	0.4	Un barbat si o femeie merg cu masina.	O femeie prajeste creveti.
372	0.0	Un barbat misca o ramura de copac.	Femeia canta la vioara.
373	1.0	Un barbat canta la un pian.	O femeie canta la vioara.
374	0.8	O persoana toarna ulei intr-o tigaie.	O persoana face cubulete o ceapa.
375	0.0	Animalul mananca.	O femeie danseaza.
376	4.0	Femeia isi plimba cainele.	O femeie isi plimba cainele pe strada.
377	5.0	Un grup de oameni canta.	Niste oameni canta.
