id,source,text_nodiac,text_diac,n_words,n_diac_restored
293139,unknown_local_sample,"A scrie (a tipari, a citi) o carte.","A scrie (a tipări, a citi) o carte.",8,1
51377,unknown_local_sample,"Am primit ordin sa le spunem oamenilor, in tara, ca mortii de la Stalingrad si Cotul Donului au inviat, suntem noi aceia, iar pe bietii oameni i-au mintit fascistii“, spune preotul clujean.","Am primit ordin să le spunem oamenilor, în țară, că morții de la Stalingrad și Cotul Donului au înviat, suntem noi aceia, iar pe bieții oameni i-au mințit fasciștii“, spune preotul clujean.",32,11
351778,unknown_local_sample,"Ipate odata mi ti-o si insfaca de cozi, o trinteste la pamint si-o tine bine.","Ipate odată mi ți-o și înșfacă de cozi, o trîntește la pămînt și-o ține bine.",15,12
156914,unknown_local_sample,Nu ai voie sa revii in camera intrerupatoarelor.,Nu ai voie să revii în camera întrerupătoarelor.,8,4
115621,unknown_local_sample,"„Daca luam gazele naturale, decat sa le ardem, mai bine le prelucram.","„Dacă luăm gazele naturale, decât să le ardem, mai bine le prelucrăm.",12,5
272781,unknown_local_sample,"La mijloc, pe marginea banchetei, sa nu-si sifoneze pliurile de matase.","La mijloc, pe marginea banchetei, să nu-și șifoneze pliurile de mătase.",11,4
267087,unknown_local_sample,"Acel straniu echipaj purta un fel de boier cu ciacsiri si cizme rosii, cu o giubea soioasa imblanita cu nafea.","Acel straniu echipaj purta un fel de boier cu ciacșiri și cizme roșii, cu o giubea soioasă îmblănită cu nafea.",20,7
122757,unknown_local_sample,"Spre exemplu, Grecia, tara cel mai dur lovita de criza datoriilor, a reusit sa se imprumute, in iulie, de pe piata financiara internationala dupa multi ani.","Spre exemplu, Grecia, țara cel mai dur lovită de criza datoriilor, a reușit să se împrumute, în iulie, de pe piața financiară internațională după mulți ani.",26,12
8364,unknown_local_sample,"Situatia este cu atat mai ingrijoratoare cu cat romanii sunt pe ultimul loc in clasamentul european al cheltuielilor la restaurante sau cafenele, ca procent din veniturile unei gospodarii.","Situația este cu atât mai îngrijorătoare cu cât românii sunt pe ultimul loc în clasamentul european al cheltuielilor la restaurante sau cafenele, ca procent din veniturile unei gospodării.",28,8
36349,unknown_local_sample,"Fara a fi banuiti de nostalgia unanimitatii, subliniem importanta consensului politic.","Fără a fi bănuiți de nostalgia unanimității, subliniem importanța consensului politic.",11,7
11384,unknown_local_sample,"Cine are rabdare sa rasfoiasca tomurile „clasicilor“ Reformei (Martin Luther, Jean Calvin, Theodore Beza) sau ale autorilor protestanti din generatiile urmatoare ajunge inevitabil la acest loc comun.","Cine are răbdare să răsfoiască tomurile „clasicilor“ Reformei (Martin Luther, Jean Calvin, Theodore Beza) sau ale autorilor protestanți din generațiile următoare ajunge inevitabil la acest loc comun.",27,7
194060,unknown_local_sample,Este de asteptat ca in curand Finma – autoritate de reglementare – sa ofere informatii noi despre care va fi politica ICO-urilor.,Este de așteptat ca în curând Finma – autoritate de reglementare – să ofere informații noi despre care va fi politica ICO-urilor.,22,5
39881,unknown_local_sample,"Pe langa scaderile de la banci au fost scaderi si pe alte actiuni, cum ar fi cele ale Petrom, in conditiile in care a intart in vizorul pietei partea de accizare, din cauza careia se as­teapta preturi mai mari si vanzari mai mici, care ar putea influenta negativ rezul­tatele, a spus la ZF Live Ovidiu Du­mitrescu, director general adjunct al Tradeville.","Pe lângă scăderile de la bănci au fost scăderi și pe alte acțiuni, cum ar fi cele ale Petrom, în condițiile în care a intart în vizorul pieței partea de accizare, din cauza căreia se aș­teaptă prețuri mai mari și vânzări mai mici, care ar putea influența negativ rezul­tatele, a spus la ZF Live Ovidiu Du­mitrescu, director general adjunct al Tradeville.",61,20
6006,unknown_local_sample,De ce m-am dus eu oare La locul unde turme pasc?,De ce m-am dus eu oare La locul unde turme pasc?,11,0
271047,unknown_local_sample,Voua va place sa calatoriti.,Vouă vă place să călătoriți.,5,6
168746,unknown_local_sample,"Practic, oamenii descopera serialele pe aplicatia de telefon, dar fac „binging” in fata televizorului.","Practic, oamenii descoperă serialele pe aplicația de telefon, dar fac „binging” în fața televizorului.",14,4
394036,unknown_local_sample,Toti ochii se rasucira la rasarit.,Toți ochii se răsuciră la răsărit.,6,5
25962,unknown_local_sample,Aceste adaosuri pentru medicamentele fabricate in Romania ar trebui sa fie interesante pentru importatori pentru a prelua medicamente fabricate in tara si pentru a le distribui sau chiar exporta“.,Aceste adaosuri pentru medicamentele fabricate în România ar trebui să fie interesante pentru importatori pentru a prelua medicamente fabricate în țara și pentru a le distribui sau chiar exporta“.,29,6
15484,unknown_local_sample,"Premierul Tudose a precizat, tot la acel moment, ca autoritatile romane vor explica partii maghiare ca, in privinta Liceului Romano-Catolic, este o problema in Justitie si o greseala de comunicare si de abordare a consiliului local.","Premierul Tudose a precizat, tot la acel moment, că autoritățile române vor explica părții maghiare că, în privința Liceului Romano-Catolic, este o problemă în Justiție și o greșeală de comunicare și de abordare a consiliului local.",36,16
279112,unknown_local_sample,Din aceasta carte s-au tras 50 de exemplare pe hartie alfa.,Din această carte s-au tras 50 de exemplare pe hârtie alfa.,11,2
87459,unknown_local_sample,"In fine, sint vreo 1500 de tipuri de produse.","În fine, sînt vreo 1500 de tipuri de produse.",9,2
358346,unknown_local_sample,"Decit ne-om tot invirti si ciosmoli pe iasta prispa, mai bine sa scurtam din cale.","Decît ne-om tot învîrti și cioșmoli pe iastă prispă, mai bine să scurtăm din cale.",15,9
343772,unknown_local_sample,"Atita-i de lat in frunte, Pe cit o tabla de munte.","Atîta-i de lat în frunte, Pe cît o tablă de munte.",11,4
268878,unknown_local_sample,Pentru toti patru copiii... capitala era necunoscutul miraculos.,Pentru toți patru copiii... capitala era necunoscutul miraculos.,8,1
221136,unknown_local_sample,"Se miscara riuri-riuri, Ori din codri rascolite, ori stirnite din pustiuri, Zguduind din pace-adinca ale lumii inceputuri, innegrind tot orizontul cu-a lor zeci de mii de scuturi.","Se mișcară rîuri-rîuri, Ori din codri răscolite, ori stîrnite din pustiuri, Zguduind din pace-adîncă ale lumii începuturi, înnegrind tot orizontul cu-a lor zeci de mii de scuturi.",27,10
302712,unknown_local_sample,Domol purcede glas de schija De la clopotnita din deal.,Domol purcede glas de schijă De la clopotnița din deal.,10,2
142346,unknown_local_sample,"De exemplu, la o flota de 100 de aeronave dintre cele mai eficiente din punct de vedere al consumului de combustibil, se estimeaza ca noile Boeing 737 MAX vor emite cu 35.000 tone de dioxid de carbon mai putin.","De exemplu, la o flotă de 100 de aeronave dintre cele mai eficiente din punct de vedere al consumului de combustibil, se estimează că noile Boeing 737 MAX vor emite cu 35.000 tone de dioxid de carbon mai puțin.",39,4
140807,unknown_local_sample,"Situatia creata prin semnarea actului aditional era menita sa opreasca procesul in care Ministerul Educatiei solicitase incetarea contractului de locatiune”, explica procurorii.","Situația creată prin semnarea actului adițional era menită să oprească procesul în care Ministerul Educației solicitase încetarea contractului de locațiune”, explică procurorii.",22,11
71271,unknown_local_sample,Detalii de abonare la ZF Corporate: Alexandru Matei (tel.,Detalii de abonare la ZF Corporate: Alexandru Matei (tel.,9,0
407617,unknown_local_sample,"Isi gaseste utilizare in sindroamele dureroase, evitand cu succes abuzul de medicamente antialgice, atat de vatamatoare bolnavului.","Își găsește utilizare în sindroamele dureroase, evitând cu succes abuzul de medicamente antialgice, atât de vătămătoare bolnavului.",17,10
196684,unknown_local_sample,"Si in fine, colac peste pupaza, partidele – fara discriminare – au fost ajunse din urma si de propria politica de cadre, care, in cazul in care nu lipseste cu desavirsire, nu incurajeaza deloc promovarea oamenilor educati si cu bun-simt.","Și în fine, colac peste pupăză, partidele – fără discriminare – au fost ajunse din urmă și de propria politică de cadre, care, în cazul în care nu lipsește cu desăvîrșire, nu încurajează deloc promovarea oamenilor educați și cu bun-simț.",40,20
85772,unknown_local_sample,"De ce scade Bursa de la Bucuresti in aceasta toamna cand pietele externe au noi maxime? UrmaritI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners astazi, 20:18 Ziarul Financiar De ce scade Bursa de la Bucuresti in aceasta toamna cand pietele externe au noi maxime? UrmaritI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners.","De ce scade Bursa de la București în această toamnă când piețele externe au noi maxime? UrmărițI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners astăzi, 20:18 Ziarul Financiar De ce scade Bursa de la București în această toamnă când piețele externe au noi maxime? UrmărițI ZF Live luni, 9 octombrie 2017, de la ora 12.00 cu VLAD PINTILIE, analist BT Capital Partners.",72,17
91861,unknown_local_sample,"Acum, pentru a face o noua rezervare la un alt operator aerian, fie el si low cost ma costa dublu”, afirma Mihai B.","Acum, pentru a face o nouă rezervare la un alt operator aerian, fie el și low cost mă costă dublu”, afirmă Mihai B.",23,5
364598,unknown_local_sample,"Stai sa ne intelegem, grai Pintea mihnit.","Stai să ne înțelegem, grăi Pintea mîhnit.",7,5
44255,unknown_local_sample,"”Am citit acum mesajul d-nului Mirel Palada si, cel mai probabil, voi avea nevoie de cateva zile pentru a reflecta mai temeinic asupra lui si, mai ales, pentru a ma consulta cu cei care mi-au transmis diferite mesaje dupa agresiunea la care am fost supus.","”Am citit acum mesajul d-nului Mirel Palada și, cel mai probabil, voi avea nevoie de câteva zile pentru a reflecta mai temeinic asupra lui și, mai ales, pentru a mă consulta cu cei care mi-au transmis diferite mesaje după agresiunea la care am fost supus.",45,5
194134,unknown_local_sample,"A fost a treia finala de Grand Slam pierduta de Halep, dupa cele de la Roland Garros, din 2014 si 2017..","A fost a treia finală de Grand Slam pierdută de Halep, după cele de la Roland Garros, din 2014 și 2017..",21,4
342311,unknown_local_sample,Spuse... ca el s-a multumit de ciobanie si sa duce de acum in lume.,Spuse... că el s-a mulțumit de ciobănie și să duce de acum în lume.,14,6
93853,unknown_local_sample,"Aceasta a fost cumparata anul acesta de medicul Wargha Enayati, fondatorul Regina Maria.","Aceasta a fost cumpărată anul acesta de medicul Wargha Enayati, fondatorul Regina Maria.",13,2
353176,unknown_local_sample,"A fost scrisa de... niste ipocriti si fanatici care, vrind sa tie lumea sub tutela lor, iscodeau feluri de basme ca sa o sparie.","A fost scrisă de... niște ipocriți și fanatici care, vrînd să ție lumea sub tutela lor, iscodeau feluri de basme ca să o sparie.",24,8
190714,unknown_local_sample,"De la inceputul anului 2018 SIF-urile sunt printre cele mai performante actiuni de la bursa romaneasca in contextul unor cresteri chiar si de 14%, cum este cazul SIF5.","De la începutul anului 2018 SIF-urile sunt printre cele mai performante acțiuni de la bursa românească în contextul unor creșteri chiar și de 14%, cum este cazul SIF5.",28,7
355329,unknown_local_sample,"Si sufletu-mi atuncea pe buzele-ti sa zboare, Sa ia un lung, un dulce, un vecinic sarutat.","Și sufletu-mi atuncea pe buzele-ți să zboare, Să ia un lung, un dulce, un vecinic sărutat.",16,5
149497,unknown_local_sample,"Grupul hotelier Orbis este cel mai mare lant hotelier din Polonia si Europa Centrala, cu 120 hoteluri, fiind partener strategic al grupului francez Accor.","Grupul hotelier Orbis este cel mai mare lanț hotelier din Polonia și Europa Centrală, cu 120 hoteluri, fiind partener strategic al grupului francez Accor.",24,3
314181,unknown_local_sample,Boierii se adunau in desert ca sa chibzuiasca.,Boierii se adunau în deșert ca să chibzuiască.,8,4
17572,unknown_local_sample,"""Ucraina a demonstrat si va demonstra in continuare o atitudine fata de minoritatile nationale care corespunde cu obligatiile noastre internationale, care este in concordanta cu standardele europene, fiind un model pentru tarile vecine”, a subliniat Petro Porosenko.","""Ucraina a demonstrat și va demonstra în continuare o atitudine față de minoritățile naționale care corespunde cu obligațiile noastre internaționale, care este în concordanță cu standardele europene, fiind un model pentru țările vecine”, a subliniat Petro Poroșenko.",37,15
166358,unknown_local_sample,"- producator de bauxita, Vimetco Extrusion - procesator de produse extrudate, Conef, Global Aluminium Ltd.","- producător de bauxită, Vimetco Extrusion - procesator de produse extrudate, Conef, Global Aluminium Ltd.",15,2
146613,unknown_local_sample,fix: 0318.256.286) sau trimiteti un email cu datele dumneavoastra de contact prin care solicitati informatii si abonare la adresa alexandru.matei@zf.ro. Veti fi contactat in maximum o ora.,fix: 0318.256.286) sau trimiteți un email cu datele dumneavoastră de contact prin care solicitați informații și abonare la adresa alexandru.matei@zf.ro. Veți fi contactat în maximum o oră.,27,8
287852,unknown_local_sample,"Bine-i sta mindrei gatata Cu vesminte de la satra, Dar mai bine i-ar sedea De-ar fi tesute de ea.","Bine-i stă mîndrei gătată Cu veșminte de la șatră, Dar mai bine i-ar ședea De-ar fi țesute de ea.",19,9
204973,unknown_local_sample,"Previziunea Fitch pentru deficitul bugetar din 2018 si 2019 este ca acesta va depasi limita Maastricht de 3% din PIB, crescand la 3,4%, respectiv peste 3,6% din PIB.","Previziunea Fitch pentru deficitul bugetar din 2018 și 2019 este că acesta va depăși limita Maastricht de 3% din PIB, crescând la 3,4%, respectiv peste 3,6% din PIB.",28,5
20468,unknown_local_sample,Risul lui „Nenea Iancu“ exprima o conceptie despre viata.,Rîsul lui „Nenea Iancu“ exprimă o concepție despre viață.,9,5
279265,unknown_local_sample,"Pe bulevardul Coltei il izbeste pe Mos Gheorghe mai intii largimea lui, apoi alinierea caselor.","Pe bulevardul Colței îl izbește pe Moș Gheorghe mai întîi lărgimea lui, apoi alinierea caselor.",15,7
154212,unknown_local_sample,"Strategia, asa cum a fost realizata, cu participarea partenerilor sociali si a partidelor politice, a oferit o garantie de durata, fara posibilitati de revenire, a inscrierii tarii noastre pe traiectoria reformelor si a integrarii europene, indiferent de calendarul electoral.","Strategia, așa cum a fost realizată, cu participarea partenerilor sociali și a partidelor politice, a oferit o garanție de durată, fără posibilități de revenire, a înscrierii țării noastre pe traiectoria reformelor și a integrării europene, indiferent de calendarul electoral.",39,14
15616,unknown_local_sample,"Ambele partide vor cauta sa incheie intelegeri cu gruparile mai mici de pe scena politica, dintre care patru se afla in stransa competitie pentru locul al treilea in tara: Partidul Democratic Liber, Partidul Verzilor, Partidul de Stanga si euroscepticii de la Alternativa pentru Germania.","Ambele partide vor căuta să încheie înțelegeri cu grupările mai mici de pe scena politică, dintre care patru se află în strânsă competiție pentru locul al treilea în țară: Partidul Democratic Liber, Partidul Verzilor, Partidul de Stânga și euroscepticii de la Alternativa pentru Germania.",44,17
87480,unknown_local_sample,Dar cred ca mai e o explicatie pentru bunul-simt de ceas 12.,Dar cred că mai e o explicație pentru bunul-simț de ceas 12.,12,3
20359,unknown_local_sample,Cercetarile au fost demarate ca urmare a unei plangeri pe care a depus-o judecatorul Cristi Danilet.,Cercetările au fost demarate ca urmare a unei plângeri pe care a depus-o judecătorul Cristi Danileț.,16,4
345000,unknown_local_sample,"Nimeni nu cunostea aceste rapitoare poezii, pe care poetul le tinea... tainuite in cartoanele sale.","Nimeni nu cunoștea aceste răpitoare poezii, pe care poetul le ținea... tăinuite în cartoanele sale.",15,5
252514,unknown_local_sample,Radacina si incepatura tuturor rautatilor.,Rădăcina și începătura tuturor răutăților.,5,8
155883,unknown_local_sample,"In plus, orice suspiciune legata de un produs poate fi raportata de catre utilizatori, urmand ca echipa Facebook sa verifice situatia si sa elimine continutul nepotrivit..","În plus, orice suspiciune legată de un produs poate fi raportată de către utilizatori, urmând ca echipa Facebook să verifice situația și să elimine conținutul nepotrivit..",26,10
84883,unknown_local_sample,"Propunerea de respingere in integralitate a proiectului de lege a apartinut opozitiei parlamentare si a fost votata cu majoritate de voturi, desi deputatul UDMR Marton Arpad a propus dezbaterea proiectului de lege pe articole.","Propunerea de respingere în integralitate a proiectului de lege a aparținut opoziției parlamentare și a fost votată cu majoritate de voturi, deși deputatul UDMR Marton Arpad a propus dezbaterea proiectului de lege pe articole.",34,6
191068,unknown_local_sample,"Germanii de la Kaufland, liderul pietei locale de retail, porneste planul de investitii de 200 mil.","Germanii de la Kaufland, liderul pieței locale de retail, pornește planul de investiții de 200 mil.",16,3
255404,unknown_local_sample,Fete si baieti inlantuiti jucau o hora.,Fete și băieți înlănțuiți jucau o horă.,7,8
210495,unknown_local_sample,fix: 0318.256.286) sau trimiteti un email cu datele dumneavoastra de contact prin care solicitati informatii si abonare la adresa alexandru.matei@zf.ro. Veti fi contactat in maximum o ora.,fix: 0318.256.286) sau trimiteți un email cu datele dumneavoastră de contact prin care solicitați informații și abonare la adresa alexandru.matei@zf.ro. Veți fi contactat în maximum o oră.,27,8
278956,unknown_local_sample,"Vei bate si putineiul, ca sa alegi untul.","Vei bate și putineiul, ca să alegi untul.",8,2
280157,unknown_local_sample,"Pe drum necontenit ceream apa, iar tata ma amina cu momele, de la o fintina la alta.","Pe drum necontenit ceream apă, iar tata mă amîna cu momele, de la o fîntînă la alta.",17,6
215076,unknown_local_sample,"O asemenea pozitie nu se cistiga insa prin niste alegeri miraculoase, in care iese un erou national, bun si drept, urmate de o geniala politica de atragere a investitiilor, de descoperirea unui zacamint enorm de petrol/diamante si de dublarea salariilor la bugetul imediat urmator.","O asemenea poziție nu se cîștigă însă prin niște alegeri miraculoase, în care iese un erou național, bun și drept, urmate de o genială politică de atragere a investițiilor, de descoperirea unui zăcămînt enorm de petrol/diamante și de dublarea salariilor la bugetul imediat următor.",44,18
120325,unknown_local_sample,Cei din IT sunt singurii care fac o exceptie.,Cei din IT sunt singurii care fac o excepție.,9,1
84213,unknown_local_sample,"Noile legi ale justitiei, aviz negativ de la CSM.","Noile legi ale justiției, aviz negativ de la CSM.",9,1
2669,unknown_local_sample,"Armata Romana este dezarmata, decapitata si lasata fara solde.","Armata Română este dezarmată, decapitată și lăsată fără solde.",9,9
228697,unknown_local_sample,Stiind... ca lupul e mai virtos la vina decit dinsul.,Știind... că lupul e mai vîrtos la vînă decît dînsul.,10,7
16091,unknown_local_sample,"Cel mai puternic cutremur din acest an a avut loc pe 8 februarie, in Buzau, si a avut magnitudinea 5, la o adancime de 124 de kilometri, seismul fiind resimtit si in Capitala.","Cel mai puternic cutremur din acest an a avut loc pe 8 februarie, în Buzău, și a avut magnitudinea 5, la o adâncime de 124 de kilometri, seismul fiind resimțit și în Capitală.",33,8
164272,unknown_local_sample,"In momentul de fata, un bitcoin valoreaza mai mult de 10.000 de dolari.","În momentul de față, un bitcoin valorează mai mult de 10.000 de dolari.",13,4
271292,unknown_local_sample,Din norocire atunce au inceput si turbatele valuri a se mai alina.,Din norocire atunce au început și turbatele valuri a se mai alina.,12,2
148818,unknown_local_sample,"Lovin si Iana au condus apoi din interior eforturile de inlaturare a lui Dita prin convocarea, joia trecuta, a unei videoconferinte cu directiile regionale ale ANCOM, in cadrul careia s-a discutat despre demisia presedintelui.","Lovin și Iana au condus apoi din interior eforturile de înlăturare a lui Diță prin convocarea, joia trecută, a unei videoconferințe cu direcțiile regionale ale ANCOM, în cadrul căreia s-a discutat despre demisia președintelui.",34,11
77189,unknown_local_sample,"Am avut parte de inca o zi plina de diversitate in Piata Obor! De altfel, diversitatea e peste tot in jurul nostru.","Am avut parte de încă o zi plină de diversitate în Piața Obor! De altfel, diversitatea e peste tot în jurul nostru.",22,6
48344,unknown_local_sample,Termenul este pana maine.,Termenul este până mâine.,4,3
177191,unknown_local_sample,"Motivele pentru care Facebook si Twitter ar putea sa dispara astazi, 14:36 Autori: Ioana Matei , Business Magazin Businessurile Facebook si Twitter ar putea fi distruse de public daca nu gestioneaza temerile oamenilor legate de modul in care functioneaza aceste retele, reiese dintr-un comentariu al unui academician de top, publicat de Daily Mail.","Motivele pentru care Facebook și Twitter ar putea să dispară astăzi, 14:36 Autori: Ioana Matei , Business Magazin Businessurile Facebook și Twitter ar putea fi distruse de public dacă nu gestionează temerile oamenilor legate de modul în care funcționează aceste rețele, reiese dintr-un comentariu al unui academician de top, publicat de Daily Mail.",53,11
160563,unknown_local_sample,"Opt dintre cele mai mari banci din lume se pregatesc sa-si negocieze cu Comisia Europeana amenda intr-un caz in care sunt acuzate de practici de tip cartel pentru manipularea pietei valutare globale, scrie Financial Times.","Opt dintre cele mai mari bănci din lume se pregătesc să-și negocieze cu Comisia Europeană amenda într-un caz în care sunt acuzate de practici de tip cartel pentru manipularea pieței valutare globale, scrie Financial Times.",35,8
23937,unknown_local_sample,Gealatii sistemului au pus bocancul pe grumazul normalitatii.,Gealații sistemului au pus bocancul pe grumazul normalității.,8,3
166254,unknown_local_sample,"Primarii s-a declarat foarte multumiti de banii alocati pentru 2018”, au precizat sursele citate.","Primarii s-a declarat foarte mulțumiți de banii alocați pentru 2018”, au precizat sursele citate.",14,3
184469,unknown_local_sample,Serghei Riabkov a transmis ca Rusia va adopta masuri pentru a contracara posibilele influente ale americanilor asupra economiei tarii.,Serghei Riabkov a transmis că Rusia va adopta măsuri pentru a contracara posibilele influențe ale americanilor asupra economiei țării.,19,5
294317,unknown_local_sample,"Soru-mea si cumnatu-meu vor sa ma trimeata la... manastirea Tiganesti, unde traieste o matusa a noastra, monahie batrina.","Soru-mea și cumnatu-meu vor să mă trimeată la... mănăstirea Țigănești, unde trăiește o mătușă a noastră, monahie bătrînă.",18,18
296463,unknown_local_sample,"Din sus, Masele nu-s Si din jos, Dintii i-am scos; Numai ceva de-o mai trece, Sint de patruzeci si zece","Din sus, Măsele nu-s Și din jos, Dinții i-am scos; Numai ceva de-o mai trece, Sînt de patruzeci și zece",20,5
